"","l.x","l.y","l.sd","l.lower","l.upper"
"1",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"2",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"3",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"4",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"5",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"6",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"7",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"8",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"9",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"10",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"11",500,-783.012312149116,195.121879102196,-1165.45119518942,-400.573429108812
"12",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"13",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"14",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"15",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"16",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"17",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"18",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"19",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"20",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"21",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"22",1000,-783.066613266617,195.613708926323,-1166.46948276221,-399.663743771023
"23",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"24",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"25",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"26",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"27",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"28",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"29",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"30",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"31",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"32",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"33",1500,-783.109623066724,196.102048764392,-1167.46963864493,-398.749607488515
"34",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"35",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"36",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"37",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"38",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"39",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"40",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"41",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"42",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"43",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"44",2000,-783.141418369985,196.586933012955,-1168.45180707538,-397.831029664592
"45",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"46",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"47",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"48",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"49",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"50",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"51",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"52",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"53",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"54",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"55",2500,-783.162075996945,197.068395547042,-1169.41613126915,-396.908020724742
"56",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"57",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"58",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"59",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"60",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"61",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"62",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"63",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"64",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"65",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"66",3000,-783.171672768151,197.546469732458,-1170.36275344377,-395.980592092534
"67",3500,-783.170285504151,198.02118843771,-1171.29181484206,-395.048756166239
"68",3500,-783.170285504151,198.02118843771,-1171.29181484206,-395.048756166239
"69",3500,-783.170285504151,198.02118843771,-1171.29181484206,-395.048756166239
"70",3500,-783.170285504151,198.02118843771,-1171.29181484206,-395.048756166239
"71",3500,-783.170285504151,198.02118843771,-1171.29181484206,-395.048756166239
"72",3500,-783.170285504151,198.02118843771,-1171.29181484206,-395.048756166239
