"","l.x","l.y","l.sd","l.lower","l.upper"
"1",9,19.2621927285662,16.8610908239206,-13.7855452863182,52.3099307434507
"2",12,19.263097085708,16.8619593151623,-13.7863431720101,52.312537343426
"3",13,19.2633985388041,16.8622488038969,-13.7866091168338,52.313406194442
"4",13,19.2633985388041,16.8622488038969,-13.7866091168338,52.313406194442
"5",14,19.263699992258,16.8625382884585,-13.7868750531208,52.3142750376367
"6",14,19.263699992258,16.8625382884585,-13.7868750531208,52.3142750376367
"7",17,19.2646043547648,16.8634067171061,-13.7876728107632,52.3168815202928
"8",17,19.2646043547648,16.8634067171061,-13.7876728107632,52.3168815202928
"9",19,19.2652072648896,16.8639856486734,-13.7882046065103,52.3186191362896
"10",23,19.2664130894251,16.8651434617343,-13.789268095574,52.3220942744243
"11",25,19.2670160038346,16.865722343228,-13.7897997888924,52.3238317965615
"12",26,19.2673174615745,16.8660117777158,-13.7900656227485,52.3247005458974
"13",26,19.2673174615745,16.8660117777158,-13.7900656227485,52.3247005458974
"14",26,19.2673174615745,16.8660117777158,-13.7900656227485,52.3247005458974
"15",27,19.267618919671,16.8663012080309,-13.7903314480695,52.3255692874115
"16",30,19.2685232960998,16.86716947394,-13.7911288728226,52.3281754650223
"17",30,19.2685232960998,16.86716947394,-13.7911288728226,52.3281754650223
"18",32,19.269126215501,16.8677482970163,-13.7916604466509,52.3299128776528
"19",35,19.270030597274,16.8686165003361,-13.7924577433848,52.3325189379327
"20",36,19.270332058577,16.8689058930976,-13.7927234918942,52.3333876090482
"21",38,19.2709349822507,16.869484666103,-13.7932549633112,52.3351249278125
"22",40,19.2715379073472,16.8700634224184,-13.7937864005928,52.3368622152873
"23",40,19.2715379073472,16.8700634224184,-13.7937864005928,52.3368622152873
"24",40,19.2715379073472,16.8700634224184,-13.7937864005928,52.3368622152873
"25",40,19.2715379073472,16.8700634224184,-13.7937864005928,52.3368622152873
"26",42,19.2721408338662,16.8706421620439,-13.7943178037399,52.3385994714723
"27",45,19.27304522631,16.8715102401891,-13.7951148444606,52.3412052970806
"28",48,19.2739496219506,16.8723782807829,-13.7959118083839,52.343811052285
"29",49,19.2742510878741,16.8726676193028,-13.7961774459594,52.3446796217076
"30",50,19.2745525541525,16.8729569536504,-13.7964430750023,52.3455481833073
"31",55,19.2760598908651,16.8744035628046,-13.7977710922318,52.3498908739621
"32",55,19.2760598908651,16.8744035628046,-13.7977710922318,52.3498908739621
"33",59,19.2772657666151,16.8755607750282,-13.7988333524401,52.3533648856704
"34",60,19.2775672364381,16.8758500676537,-13.7990988961632,52.3542333690393
"35",63,19.2784716480308,16.8767179204977,-13.7998954761448,52.3568387722063
"36",64,19.2787731192694,16.8770071964349,-13.800160985743,52.3577072242818
