"","l.x","l.y","l.sd","l.lower","l.upper"
"1",9,265.933945859984,169.020355804415,-65.3459515166682,597.213843236637
"2",13,265.968566740913,169.014147553895,-65.2991624647212,597.236295946547
"3",17,266.003184007408,169.00793965725,-65.2523777208013,597.258745735617
"4",19,266.020491284945,169.004835841723,-65.2289869648329,597.269969534722
"5",22,266.046450506274,169.000180284534,-65.1939028514115,597.28680386396
"6",29,266.107014110737,168.989318093546,-65.1120493526123,597.326077574087
"7",31,266.124315962682,168.986214810063,-65.0886650650409,597.337296990404
"8",40,266.202163099247,168.972251133884,-64.9834491231643,597.387775321659
"9",42,266.219459973954,168.969148339287,-64.9600707710496,597.398990718957
"10",42,266.219459973954,168.969148339287,-64.9600707710496,597.398990718957
"11",45,266.245403588462,168.964494314299,-64.9250052675631,597.415812444488
"12",50,266.288638418178,168.956738051376,-64.8665681625192,597.443844998876
"13",55,266.331867586528,168.9489823457,-64.8081378110437,597.4718729841
"14",58,266.357802369306,168.944329190015,-64.7730828431238,597.488687581736
"15",61,266.383735112917,168.939676235275,-64.7380303082228,597.505500534057
"16",81,266.556567928511,168.908661681585,-64.5044089673953,597.617544824416
"17",97,266.694768834454,168.883856498035,-64.3175899016942,597.707127570602
"18",105,266.763847484221,168.871456065978,-64.2242064050965,597.751901373539
"19",108,266.78974822824,168.866806275854,-64.1891920724328,597.768688528914
"20",114,266.841543578214,168.857507304878,-64.1191707393469,597.802257895775
"21",116,266.858806875748,168.854407828549,-64.0958324682082,597.813446219703
"22",141,267.07452129518,168.81567201353,-63.8041958513376,597.953238441698
"23",172,267.341809407112,168.767659328137,-63.442802876037,598.126421690262
"24",224,267.78967081289,168.687171325039,-62.8371849841874,598.416526609967
"25",226,267.806883896143,168.684076876055,-62.8139067809242,598.42767457321
"26",263,268.125160527201,168.626846286431,-62.3834581942048,598.633779248606
"27",263,268.125160527201,168.626846286431,-62.3834581942048,598.633779248606
"28",264,268.133758238639,168.625299955145,-62.371829673446,598.639346150723
"29",277,268.245507583699,168.605199769809,-62.2206839651261,598.711699132525
"30",323,268.640616220985,168.534107799101,-61.6862350652532,598.967467507223
"31",362,268.975217582396,168.473873222451,-61.233573933609,599.1840090984
"32",390,269.215227467194,168.430650151317,-60.9088468293879,599.339301763775
"33",416,269.437931260145,168.390531209045,-60.6075099095831,599.483372429874
"34",453,269.754585521376,168.333466872204,-60.179009548145,599.688180590897
"35",485,270.028192043405,168.284140624106,-59.8087235798434,599.865107666653
"36",514,270.275941922053,168.239460233607,-59.4734001358172,600.025283979924
"37",515,270.284481522647,168.23791989694,-59.4618414753559,600.030804520649
"38",582,270.856102331007,168.134773341976,-58.6880534192659,600.400258081281
"39",598,270.992453319947,168.110157740806,-58.5034558520333,600.488362491927
"40",633,271.290511608932,168.056333339994,-58.0999017374564,600.680924955321
"41",634,271.29902333019,168.054795949727,-58.0883767312753,600.686423391656
"42",684,271.724309232463,167.977958468328,-57.5124893654603,600.961107830387
"43",726,272.081093664299,167.913463807545,-57.0292953984887,601.191482727086
"44",802,272.725642138902,167.796873698347,-56.156230309858,601.607514587661
"45",809,272.784939498029,167.786142612545,-56.0759000225589,601.645779018618
"46",832,272.979691613111,167.750892268643,-55.8120572334285,601.771440459651
"47",880,273.385724818868,167.677370692139,-55.2619217377248,602.033371375461
"48",950,273.976869674543,167.570260171213,-54.4608402610339,602.414579610121
"49",1011,274.491051868688,167.477027063308,-53.7639211753951,602.746024912772
