"","l.x","l.y","l.sd","l.lower","l.upper"
"1",9,48.3985542637592,45.260604124796,-40.3122298208409,137.109338348359
"2",9,48.3985542637592,45.260604124796,-40.3122298208409,137.109338348359
"3",9,48.3985542637592,45.260604124796,-40.3122298208409,137.109338348359
"4",9,48.3985542637592,45.260604124796,-40.3122298208409,137.109338348359
"5",10,48.4136215109663,45.2657633316638,-40.3072746190947,137.134517641027
"6",13,48.4588207131647,45.2812369379834,-40.2924036852827,137.210045111612
"7",16,48.5040161065474,45.2967045285817,-40.2775247694726,137.285556982567
"8",19,48.5492076915237,45.3121661107823,-40.2626378856096,137.361053268657
"9",24,48.6245185378039,45.3379220823077,-40.2378087435191,137.486845819127
"10",25,48.6395794378944,45.3430712792237,-40.2328402693841,137.511999145173
"11",28,48.6847596001073,45.35851488005,-40.2179295647906,137.587448765005
"12",28,48.6847596001073,45.35851488005,-40.2179295647906,137.587448765005
"13",29,48.6998188082094,45.3636614179162,-40.2129575709064,137.612595187325
"14",32,48.7449938948211,45.3790970480551,-40.198036319367,137.688024109009
"15",34,48.7751085046351,45.3893841512856,-40.1880844318848,137.738301441155
"16",35,48.7901651752094,45.3945267086478,-40.1831071737402,137.763437524159
"17",37,48.8202772477685,45.4048098362069,-40.173150031197,137.813704526734
"18",46,48.9557606455587,45.451051175,-40.1282996574414,138.039820948559
"19",46,48.9557606455587,45.451051175,-40.1282996574414,138.039820948559
"20",48,48.9858634171845,45.4613197663059,-40.118323324775,138.090050159144
"21",49,49.0009141689831,45.4664530733187,-40.1133338547216,138.115162192688
"22",51,49.0310144046274,45.4767177113948,-40.1033523097063,138.165381118961
"23",58,49.1363519174698,45.5126232250859,-40.0683896036986,138.341093438638
"24",59,49.1513984433906,45.5177499566643,-40.0633914716714,138.366188358453
"25",59,49.1513984433906,45.5177499566643,-40.0633914716714,138.366188358453
"26",61,49.1814902277342,45.528001451829,-40.0533926178507,138.416373073319
"27",61,49.1814902277342,45.528001451829,-40.0533926178507,138.416373073319
"28",75,49.3920854078341,45.5996886137888,-39.9833042751919,138.76747509086
"29",76,49.4071247532418,45.6048042277835,-39.9782915332139,138.792541039698
"30",76,49.4071247532418,45.6048042277835,-39.9782915332139,138.792541039698
"31",76,49.4071247532418,45.6048042277835,-39.9782915332139,138.792541039698
"32",79,49.4522402560457,45.6201471611603,-39.9632481798286,138.86772869192
"33",79,49.4522402560457,45.6201471611603,-39.9632481798286,138.86772869192
"34",84,49.5274243168967,45.645705703799,-39.9381588625493,138.993007496343
"35",85,49.5424598626301,45.6508154627304,-39.9331384443216,139.018058169582
"36",85,49.5424598626301,45.6508154627304,-39.9331384443216,139.018058169582
"37",87,49.5725296877812,45.6610330330846,-39.9230950570645,139.068154432627
"38",89,49.6025978246127,45.6712480084976,-39.9130482720426,139.118243921268
"39",89,49.6025978246127,45.6712480084976,-39.9130482720426,139.118243921268
"40",93,49.6627290338015,45.6916701828287,-39.8929445245426,139.218402592146
"41",94,49.6777607810884,45.6967741078246,-39.8879164702478,139.243438032425
"42",96,49.707823009756,45.7069800173295,-39.8778578242099,139.293503843722
"43",96,49.707823009756,45.7069800173295,-39.8778578242099,139.293503843722
"44",102,49.7979995696,45.7375822406076,-39.847661621991,139.443660761191
"45",103,49.8130275196683,45.7426803526909,-39.8426259716059,139.468681010943
"46",104,49.8280550478993,45.7477778201882,-39.8375894796695,139.493699575468
"47",104,49.8280550478993,45.7477778201882,-39.8375894796695,139.493699575468
"48",109,49.9031863620244,45.7732554979133,-39.8123944138857,139.618767137934
"49",110,49.9182113595495,45.7783491033099,-39.8073528829379,139.643775602037
"50",111,49.9332359353434,45.7834420659243,-39.8023105138682,139.668782384555
"51",117,50.0233745345993,45.8139863575729,-39.7720387262435,139.818787795442
"52",117,50.0233745345993,45.8139863575729,-39.7720387262435,139.818787795442
"53",119,50.0534173611886,45.8241626575044,-39.76194144752,139.868776169897
"54",120,50.0684381420834,45.8292498466323,-39.7568915573159,139.893767841483
"55",121,50.0834585013985,45.8343363955428,-39.7518408338654,139.918757836662
"56",125,50.1435357231657,45.8546761941233,-39.7316296173159,140.018701063647
"57",126,50.15855397481,45.8597595457798,-39.7265747349185,140.043682684538
"58",127,50.1735718049656,45.8648422587511,-39.7215190221866,140.068662632118
"59",127,50.1735718049656,45.8648422587511,-39.7215190221866,140.068662632118
"60",128,50.1885892136476,45.8699243332921,-39.7164624796049,140.0936409069
"61",135,50.2936992744362,45.9054810004089,-39.6810434863653,140.268442035238
"62",140,50.3687652484142,45.9308595227991,-39.655719416272,140.393249913101
"63",140,50.3687652484142,45.9308595227991,-39.655719416272,140.393249913101
"64",143,50.4137997773623,45.9460790126504,-39.6405150874325,140.468114642157
"65",144,50.4288104445294,45.9511509068546,-39.6354453329055,140.493066221964
"66",145,50.4438206904808,45.9562221669399,-39.6303747567215,140.518016137683
"67",146,50.4588305152315,45.9612927931588,-39.6253033593598,140.542964389823
"68",146,50.4588305152315,45.9612927931588,-39.6253033593598,140.542964389823
"69",146,50.4588305152315,45.9612927931588,-39.6253033593598,140.542964389823
"70",150,50.5188656025308,45.9815689644126,-39.6050095677178,140.642740772779
"71",150,50.5188656025308,45.9815689644126,-39.6050095677178,140.642740772779
"72",155,50.5938999864592,46.0068999467123,-39.5796239090969,140.767423882015
"73",157,50.623910792581,46.0170279184224,-39.5694639275269,140.817285512689
"74",157,50.623910792581,46.0170279184224,-39.5694639275269,140.817285512689
"75",159,50.6539199146279,46.0271533667377,-39.5593006841781,140.867140513434
"76",159,50.6539199146279,46.0271533667377,-39.5593006841781,140.867140513434
"77",162,50.6989304403228,46.0423368122291,-39.5440497116462,140.941910592292
"78",163,50.7139331069817,46.0473967011987,-39.5389644273677,140.966830641331
"79",165,50.7439371775312,46.0575145913462,-39.5287914215073,141.01666577657
"80",169,50.803940267982,46.0777428274637,-39.5084356738469,141.116316209811
"81",169,50.803940267982,46.0777428274637,-39.5084356738469,141.116316209811
"82",171,50.8339392881258,46.0878531774227,-39.4982529396226,141.166131515874
"83",174,50.8789346623306,46.1030139978372,-39.4829727734304,141.240842098092
"84",174,50.8789346623306,46.1030139978372,-39.4829727734304,141.240842098092
"85",174,50.8789346623306,46.1030139978372,-39.4829727734304,141.240842098092
"86",174,50.8789346623306,46.1030139978372,-39.4829727734304,141.240842098092
"87",176,50.9089294746367,46.1131180779976,-39.4727819582387,141.290640907512
"88",178,50.9389226040199,46.1232196537157,-39.4625879172629,141.340433125303
"89",180,50.9689140506016,46.1333187269751,-39.4523906542696,141.390218755473
"90",181,50.9839091428798,46.1383673258021,-39.4472908156923,141.415109101452
"91",183,51.0138980654866,46.1484626490882,-39.4370887267263,141.464884857699
"92",187,51.0738708633262,46.1686458051099,-39.4166749146891,141.564416641342
"93",187,51.0738708633262,46.1686458051099,-39.4166749146891,141.564416641342
"94",187,51.0738708633262,46.1686458051099,-39.4166749146891,141.564416641342
"95",191,51.1338369321427,46.1888189868948,-39.3962482821712,141.663922146457
"96",191,51.1338369321427,46.1888189868948,-39.3962482821712,141.663922146457
"97",191,51.1338369321427,46.1888189868948,-39.3962482821712,141.663922146457
"98",192,51.1488273980506,46.193860725715,-39.3911396243508,141.688794420452
"99",193,51.1638174434704,46.198901842377,-39.3860301675885,141.713665054529
"100",195,51.1937962729061,46.2089822102099,-39.3758088591053,141.763401404918
"101",197,51.2237734205712,46.2190600923591,-39.3655843604527,141.813131201595
"102",203,51.3136947741548,46.2492788443283,-39.3348917607286,141.962281309038
"103",206,51.3586497764031,46.2643798542898,-39.3195347380049,142.036834290811
"104",210,51.4185838956088,46.2845058731882,-39.2990476158401,142.136215407058
"105",210,51.4185838956088,46.2845058731882,-39.2990476158401,142.136215407058
"106",213,51.4635300726996,46.2995939001091,-39.2836739715143,142.210734116913
"107",214,51.47851129137,46.3046220080475,-39.2785478444032,142.235570427143
"108",217,51.5234524265141,46.3197026321608,-39.2631647325211,142.310069585549
"109",224,51.6283003720706,46.3548692046414,-39.2272432690265,142.483844013168
"110",224,51.6283003720706,46.3548692046414,-39.2272432690265,142.483844013168
"111",225,51.6432769698738,46.359890541355,-39.222108491182,142.50866243093
"112",225,51.6432769698738,46.359890541355,-39.222108491182,142.50866243093
"113",228,51.6882042434167,46.3749508677837,-39.2066994574393,142.583107944273
"114",230,51.7181536593747,46.3849880180569,-39.1964228560167,142.632730174766
"115",234,51.778047452467,46.4050549656523,-39.1758602802115,142.731955185146
"116",237,51.822963388793,46.4200987500992,-39.1604301614016,142.806356938988
"117",237,51.822963388793,46.4200987500992,-39.1604301614016,142.806356938988
"118",240,51.8678755468652,46.435137033542,-39.144993038877,142.880744132607
"119",243,51.9127839270931,46.450169822458,-39.1295489249245,142.955116779111
"120",247,51.9726558914576,46.4702050051476,-39.1089459186317,143.054257701547
"121",247,51.9726558914576,46.4702050051476,-39.1089459186317,143.054257701547
"122",249,52.002589355653,46.4802189425686,-39.0986397717815,143.103818483088
"123",249,52.002589355653,46.4802189425686,-39.0986397717815,143.103818483088
"124",251,52.0325211413523,46.4902304465872,-39.0883305339586,143.153372816663
"125",254,52.077415672986,46.5052431441578,-39.0728608895632,143.227692235535
"126",255,52.0923796777472,46.5102461620454,-39.0677027998617,143.252462155356
"127",256,52.1073432629753,46.5152485730115,-39.0625439401273,143.277230466078
"128",257,52.1223064286855,46.520250377294,-39.0573843108108,143.301997168182
"129",258,52.1372691748929,46.5252515751305,-39.0522239123629,143.326762262149
"130",258,52.1372691748929,46.5252515751305,-39.0522239123629,143.326762262149
"131",261,52.1821548966501,46.5402515323382,-39.0367381067328,143.401047900033
"132",262,52.197115964998,46.5452503067644,-39.0315746362601,143.425806566256
"133",263,52.212076613919,46.5502484759307,-39.0264103989052,143.450563626743
"134",267,52.2719150156363,46.5702351047339,-39.0057457896422,143.549575820915
"135",268,52.2868735676497,46.575230251152,-39.0005777246081,143.574324859908
"136",268,52.2868735676497,46.575230251152,-39.0005777246081,143.574324859908
"137",268,52.2868735676497,46.575230251152,-39.0005777246081,143.574324859908
"138",269,52.3018317003272,46.5802247937296,-38.9954088953827,143.599072296037
"139",271,52.3317467077348,46.5902120683079,-38.9850689461488,143.648562361618
"140",274,52.376616074205,46.6051884572713,-38.9695533020467,143.722785450457
"141",274,52.376616074205,46.6051884572713,-38.9695533020467,143.722785450457
"142",277,52.4214816674697,46.6201594244039,-38.954030804362,143.796994139301
"143",277,52.4214816674697,46.6201594244039,-38.954030804362,143.796994139301
"144",278,52.4364360268052,46.6251485430283,-38.9488551175303,143.821727171141
"145",280,52.4663434879382,46.6351249760576,-38.9385014651347,143.871188441011
"146",282,52.4962492724548,46.6450990050261,-38.9281447773964,143.920643322306
"147",286,52.5560558121239,46.6650398582851,-38.9074223101149,144.019533934363
"148",288,52.585956567519,46.6750066863228,-38.8970565376738,144.068969672712
"149",288,52.585956567519,46.6750066863228,-38.8970565376738,144.068969672712
"150",288,52.585956567519,46.6750066863228,-38.8970565376738,144.068969672712
"151",289,52.6009063166598,46.6799892015125,-38.8918725183047,144.093685151624
"152",289,52.6009063166598,46.6799892015125,-38.8918725183047,144.093685151624
"153",289,52.6009063166598,46.6799892015125,-38.8918725183047,144.093685151624
"154",291,52.6308045579034,46.6899524354016,-38.8815022154836,144.14311133129
"155",294,52.6756487774018,46.7048927985107,-38.8659411076792,144.217238662483
"156",297,52.7204892264234,46.7198277819455,-38.8503732261897,144.291351679036
"157",297,52.7204892264234,46.7198277819455,-38.8503732261897,144.291351679036
"158",298,52.7354352049509,46.7248049153605,-38.8451824291556,144.316052839058
"159",301,52.7802706273069,46.7397327356716,-38.8296055346094,144.390146789223
"160",303,52.8101588146736,46.7496816349233,-38.8192171897761,144.439534819123
"161",306,52.8549879547208,46.7646005170074,-38.8036290586136,144.513604968055
"162",306,52.8549879547208,46.7646005170074,-38.8036290586136,144.513604968055
