"","l.x","l.y","l.sd","l.lower","l.upper"
"1",71,-258.359431599941,141.173193219532,-535.058890310224,18.3400271103424
"2",73,-258.35719339357,141.173735889171,-535.057715736345,18.3433289492053
"3",73,-258.35719339357,141.173735889171,-535.057715736345,18.3433289492053
"4",73,-258.35719339357,141.173735889171,-535.057715736345,18.3433289492053
"5",74,-258.356074318738,141.174007201971,-535.057128434601,18.3449797971259
"6",74,-258.356074318738,141.174007201971,-535.057128434601,18.3449797971259
"7",75,-258.354955262808,141.174278500092,-535.056541122988,18.3466305973715
"8",76,-258.353836225783,141.174549783532,-535.055953801506,18.3482813499409
"9",77,-258.352717207662,141.174821052294,-535.055366470157,18.3499320548336
"10",78,-258.351598208446,141.175092306375,-535.054779128942,18.3515827120486
"11",92,-258.335934204977,141.178888322131,-535.046555316354,18.3746869064004
"12",154,-258.266609648529,141.195664661534,-535.010112385136,18.4768930880786
"13",157,-258.263257082415,141.196474988457,-535.008348059791,18.4818338949613
"14",160,-258.259904687045,141.197285183241,-535.006583646198,18.4867742721079
"15",160,-258.259904687045,141.197285183241,-535.006583646198,18.4867742721079
"16",171,-258.247614031866,141.200254766919,-535.000113375026,18.5048853112944
"17",173,-258.245379614037,141.200794500352,-534.998936834728,18.5081776066536
"18",177,-258.240911006204,141.201873791029,-534.996583636622,18.5147616242136
"19",191,-258.225273271642,141.205649458372,-534.988346210051,18.5377996667665
"20",200,-258.215222408608,141.208075153399,-534.98304970927,18.5526048920529
"21",207,-258.207406135063,141.20996098282,-534.97892966139,18.5641173912645
"22",214,-258.19959079315,141.211846092747,-534.974809134935,18.5756275486341
"23",230,-258.181730654393,141.216152213609,-534.965388993066,18.6019276842804
"24",235,-258.176150360048,141.217497105461,-534.962444686751,18.6101439666551
"25",239,-258.171686467216,141.218572754624,-534.960089066279,18.6167161318456
"26",239,-258.171686467216,141.218572754624,-534.960089066279,18.6167161318456
"27",246,-258.163875387809,141.220454575303,-534.955966355403,18.628215579786
"28",265,-258.142678591526,141.225558747134,-534.944773735909,18.659416552857
"29",269,-258.138216984707,141.226632634108,-534.942416947558,18.6659829781449
"30",274,-258.132640405132,141.227974662403,-534.939470743442,18.6741899331776
"31",293,-258.111453751195,141.233071021582,-534.928272953495,18.7053654511045
"32",294,-258.110338854936,141.233339104152,-534.927683499075,18.7070057892024
"33",296,-258.108109119673,141.233875225235,-534.926504561135,18.7102863217881
"34",296,-258.108109119673,141.233875225235,-534.926504561135,18.7102863217881
"35",302,-258.101420371985,141.235483236014,-534.922967514572,18.7201267706016
"36",306,-258.096961588677,141.236554949471,-534.920609289641,18.7266861122865
"37",333,-258.066872795135,141.243782868894,-534.904687218167,18.7709416278966
"38",340,-258.059074271079,141.245655026157,-534.900558122347,18.7824095801885
"39",352,-258.045707552854,141.248862764218,-534.893478570722,18.8020634650143
"40",353,-258.044593784011,141.249129980253,-534.892888545306,18.803700977284
"41",357,-258.040138899985,141.250198697509,-534.890528347103,18.8102505471335
"42",380,-258.014529260447,141.25633926102,-534.876954212048,18.8478956911526
"43",386,-258.007850151067,141.257939869243,-534.873412294784,18.8577119926491
"44",386,-258.007850151067,141.257939869243,-534.873412294784,18.8577119926491
"45",388,-258.005623934551,141.258473287806,-534.87223157865,18.8609837095475
"46",401,-257.991155395833,141.261939076269,-534.86455598532,18.8822451936542
"47",414,-257.976690097384,141.265402382215,-534.856878766526,18.9034985717578
"48",418,-257.972239888492,141.266467515362,-534.854516218602,18.9100364416179
"49",428,-257.961115709485,141.269129319927,-534.848609176542,18.9263777575727
"50",432,-257.95666657531,141.270193630427,-534.846246090947,18.9329129403275
"51",443,-257.944433040388,141.273119272337,-534.839746814168,18.9508807333927
"52",446,-257.941097025092,141.273916866172,-534.83797408279,18.9557800326051
"53",454,-257.932201829621,141.276043136666,-534.833246377486,18.9688427182454
"54",471,-257.913303623377,141.28055833959,-534.823197968974,18.9965907222195
"55",474,-257.90996922262,141.281354699362,-534.821424433369,19.0014859881297
"56",482,-257.901078333601,141.283477678982,-534.816694584407,19.0145379172046
"57",496,-257.885522241049,141.287190630747,-534.808415877313,19.0373713952145
"58",508,-257.872191450609,141.29037086882,-534.801318353496,19.0569354522785
