"","l.x","l.y","l.sd","l.lower","l.upper"
"1",69,-198.525242238496,302.308808354161,-791.050506612652,394.00002213566
"2",71,-198.509794488383,302.285855671693,-790.990071604901,393.970482628136
"3",83,-198.417122062562,302.148125532953,-790.627448107151,393.793203982026
"4",84,-198.409400451313,302.136646936451,-790.597228446758,393.778427544132
"5",86,-198.393957733127,302.113689243534,-790.536788650453,393.748873184199
"6",86,-198.393957733127,302.113689243534,-790.536788650453,393.748873184199
"7",165,-197.784512994114,301.206332058279,-788.14892382834,392.579897840112
"8",181,-197.661211385798,301.022439385798,-787.665192581963,392.342769810366
"9",183,-197.645801801139,300.999449894315,-787.604723593998,392.313119991719
"10",195,-197.553358882203,300.861499424495,-787.241897754213,392.135179989806
"11",216,-197.391644174685,300.620030555337,-786.606904063145,391.823615713774
"12",258,-197.068447187778,300.136882589886,-785.336737063955,391.199842688398
"13",270,-196.976162555366,299.998789287152,-784.973789558184,391.021464447451
"14",288,-196.837783764093,299.791607177754,-784.429333832491,390.753766304305
"15",293,-196.799355503354,299.734047652407,-784.278088902072,390.679377895365
"16",344,-196.407644778167,299.146720493468,-782.735216945365,389.91992738903
"17",348,-196.376942326661,299.100638797211,-782.614194369195,389.860309715872
"18",402,-195.962746474656,298.478299693732,-780.980213874369,389.054720925058
"19",470,-195.441936880246,297.693997829767,-778.922172626589,388.038298866096
"20",475,-195.403676373288,297.636301939793,-778.770828175283,387.963475428707
"21",489,-195.296572173083,297.474734262167,-778.347051326931,387.753906980765
"22",492,-195.273626118534,297.440108949456,-778.256239659468,387.7089874224
"23",499,-195.220091990568,297.359311535722,-778.044342600582,387.604158619447
"24",582,-194.586047870748,296.400756448214,-775.531530509247,386.359434767751
"25",585,-194.563155619407,296.36609185793,-775.440695660949,386.314384422136
"26",601,-194.441093359124,296.18119311594,-774.956231866366,386.074045148118
"27",652,-194.05235644189,295.591595531995,-773.411883684601,385.307170800821
"28",656,-194.021889081798,295.545337748686,-773.290751069223,385.246972905628
"29",689,-193.7706553846,295.163629775525,-772.291369744629,384.75005897543
"30",737,-193.405616119088,294.608162749395,-770.837615107902,384.026382869726
"31",741,-193.375217289351,294.561860344295,-770.716463564169,383.966028985467
"32",764,-193.200487465295,294.295581723328,-770.019827643017,383.618852712428
"33",783,-193.056227301926,294.075561668367,-769.444328171925,383.331873568073
"34",784,-193.048636721341,294.063980402084,-769.414038309426,383.316764866743
"35",809,-192.858939409912,293.774407984028,-768.656779058606,382.938900238783
"36",810,-192.851354211976,293.762823464061,-768.626488201535,382.923779777583
"37",884,-192.290629796678,292.905228196023,-766.384877060883,381.803617467526
"38",900,-192.169543825504,292.719715125066,-765.900185470634,381.561097819625
"39",901,-192.161977757775,292.708119546301,-765.869892068525,381.545936552975
"40",902,-192.154411902781,292.696523848872,-765.839598646571,381.530774841009
"41",923,-191.995578186713,292.452986902235,-765.203432515095,381.212276141668
"42",939,-191.874625320869,292.26740019514,-764.718729703343,380.969479061606
"43",974,-191.610232956103,291.861325847526,-763.658431617255,380.437965705049
"44",1014,-191.308395478403,291.397069924917,-762.44665253124,379.829861574435
"45",1030,-191.187758363826,291.21131735873,-761.961940386936,379.586423659285
"46",1031,-191.180220410023,291.199706881212,-761.931645897199,379.571205077154
"47",1064,-190.931591592136,290.816499539235,-760.931930689037,379.068747504765
"48",1143,-190.337373531229,289.898649430726,-758.538726415452,377.863979352994
"49",1157,-190.232215394836,289.735924321428,-758.114627064834,377.650196275162
"50",1190,-189.984518739689,289.352278948301,-757.11498547836,377.145947998981
"51",1224,-189.729576441845,288.956893871267,-756.085088429528,376.625935545838
"52",1268,-189.400046774058,288.445051350676,-754.752347421382,375.952253873266
"53",1281,-189.302771776383,288.29378968128,-754.358599551692,375.753055998927
"54",1300,-189.16067164418,288.072686340069,-753.783136870715,375.461793582354
"55",1309,-189.093390584546,287.96794144157,-753.510555810023,375.323774640932
"56",1329,-188.943945336541,287.735148296136,-752.904835996967,375.016945323886
"57",1366,-188.667720949795,287.304385425388,-751.784316383555,374.448874483964
"58",1407,-188.362015383446,286.826912211693,-750.542763318365,373.818732551473
"59",1451,-188.034390747443,286.314341722334,-749.210500523217,373.141719028332
"60",1483,-187.796413256595,285.941462226426,-748.24167922039,372.648852707201
"61",1496,-187.699806328479,285.789956239099,-747.848120557113,372.448507900156
"62",1530,-187.447338318001,285.393646536922,-746.818885530368,371.924208894367
"63",1558,-187.239637883698,285.067206598955,-745.97136281765,371.492087050253
"64",1567,-187.172918371023,284.962266850219,-745.698961397453,371.353124655406
"65",1638,-186.647286295671,284.134200586259,-743.550319444739,370.255746853398
"66",1677,-186.359100281727,283.679195957039,-742.370324357524,369.652123794071
"67",1691,-186.255743381987,283.515835867103,-741.946781681508,369.435294917534
"68",1745,-185.857552243483,282.885613116042,-740.313353950925,368.598249463958
"69",1832,-185.217613489486,281.869877513923,-737.682573416776,367.247346437804
"70",1835,-185.195582017483,281.834844322548,-737.591876889677,367.200712854711
"71",1869,-184.946058274275,281.437766908194,-736.564081414335,366.671964865785
"72",1883,-184.84340233553,281.274246388329,-736.140925256655,366.454120585595
"73",1930,-184.499154434823,280.725210934255,-734.720567865963,365.722258996318
"74",1982,-184.118976984945,280.117642237765,-733.149555770964,364.911601801073
"75",2011,-183.907273698646,279.778752424788,-732.27362845123,364.459081053939
"76",2046,-183.652076061218,279.369699760966,-731.216687592711,363.912535470276
"77",2088,-183.34628428093,278.878771960097,-729.94867732272,363.25610876086
"78",2137,-182.990146412314,278.305940855804,-728.469790489689,362.489497665061
"79",2221,-182.381193583051,277.323764046509,-725.935771114209,361.173383948106
"80",2288,-181.896920682235,276.540223500469,-723.915758743155,360.121917378685
"81",2392,-181.147785156188,275.323798484399,-720.78243018561,358.486859873233
"82",2473,-180.566525141325,274.376286135852,-718.344045967595,357.210995684945
"83",2483,-180.494899941682,274.259305327591,-718.04313838376,357.053338500396
"84",2516,-180.258749358137,273.873264829741,-717.050348424431,356.532849708156
"85",2531,-180.151516424776,273.697790497866,-716.599185800594,356.296152951043
"86",2567,-179.894434803946,273.276650682911,-715.516670142452,355.72780053456
"87",2608,-179.602127070032,272.797020756862,-714.284287753482,355.080033613418
"88",2612,-179.573636723936,272.750227880628,-714.164083369968,355.016809922095
"89",2652,-179.289003334616,272.282303990641,-712.962319156273,354.384312487041
"90",2734,-178.707051479545,271.323105221814,-710.500337714301,353.086234755211
"91",2755,-178.558352240511,271.07747085483,-709.870195115978,352.753490634957
"92",2798,-178.25430554276,270.574528845691,-708.580382080313,352.071770994793
"93",2858,-177.831032996899,269.872813189568,-706.781746848452,351.119680854654
"94",2912,-177.45107136859,269.24134659041,-705.164110685793,350.261967948614
"95",2937,-177.275481291723,268.949029768358,-704.415579637705,349.864617054259
"96",2947,-177.205301914091,268.832108600654,-704.116234771372,349.70563094319
"97",2966,-177.072050555794,268.609967571306,-703.547586995554,349.403485883967
"98",2969,-177.0510216025,268.574893803568,-703.457813457493,349.355770252493
"99",2999,-176.840893561348,268.224173856337,-702.560274319769,348.878487197073
"100",3031,-176.61708179481,267.85011001117,-701.603297416704,348.369133827083
"101",3042,-176.540224251796,267.721534998819,-701.274432849481,348.193984345889
"102",3070,-176.344767078724,267.394276081251,-700.437548197976,347.748014040528
"103",3187,-175.530859103588,266.027197201033,-696.944165617613,345.882447410438
"104",3195,-175.475375117441,265.933747364061,-696.705519951,345.754769716117
"105",3210,-175.371400988576,265.758538499817,-696.258136448217,345.515334471065
"106",3249,-175.101425601985,265.303055931658,-695.095415228035,344.892564024065
"107",3252,-175.080679709794,265.268022539678,-695.006003887562,344.844644467974
"108",3274,-174.928637097854,265.011127816566,-694.350447618324,344.493173422616
"109",3340,-174.473505985283,264.240629434547,-692.385139676995,343.438127706428
"110",3360,-174.335884331179,264.007202988051,-691.790002187758,343.1182335254
"111",3365,-174.301500595743,263.948850763101,-691.641248091421,343.038246899935
"112",3425,-173.889575146384,263.248766149266,-689.857156798945,342.078006506178
"113",3479,-173.5199212832,262.618925882734,-688.253016013359,341.21317344696
"114",3490,-173.444747563492,262.490653909629,-687.926429226365,341.036934099381
"115",3524,-173.212663734276,262.094241007992,-686.91737610994,340.492048641388
"116",3592,-172.749733128193,261.301718492801,-684.901101374082,339.401635117697
"117",3616,-172.586742191644,261.022105738383,-684.190069438876,339.016585055587
"118",3668,-172.234309730326,260.416468343995,-682.650587684557,338.181968223905
"119",3695,-172.051703624833,260.102109081444,-681.851837424463,337.748430174797
"120",3726,-171.842373350737,259.741270974935,-680.935264461609,337.250517760135
"121",3789,-171.418048996117,259.008272801284,-679.074263686635,336.2381656944
"122",3890,-170.74085774427,257.834092776439,-676.095679586091,334.613964097552
"123",3935,-170.44037096659,257.31134118134,-674.770599682017,333.889857748837
"124",3978,-170.15395529879,256.8120645395,-673.505601796211,333.197691198631
"125",4009,-169.9479062229,256.452272116611,-672.594359571457,332.698547125657
"126",4041,-169.735596072886,256.081010122257,-671.654375912508,332.183183766737
"127",4082,-169.464149103341,255.605539052691,-670.451005646615,331.522707439934
"128",4083,-169.457536548439,255.593945176465,-670.42166909431,331.506595997432
"129",4140,-169.081261713569,254.933334584813,-668.750597499802,330.588074072664
"130",4196,-168.712821304352,254.284786702789,-667.111003241819,329.685360633114
"131",4273,-168.208229088753,253.393834273931,-664.860144265657,328.443686088151
"132",4349,-167.712498181479,252.515406708652,-662.642695330437,327.21769896748
"133",4350,-167.705990798922,252.503854988935,-662.613546577235,327.20156497939
