"","l.x","l.y","l.sd","l.lower","l.upper"
"1",71,-191.12178812949,137.347752559936,-460.323383146963,78.0798068879839
"2",72,-191.111483319765,137.345295878164,-460.308263240967,78.0852966014372
"3",73,-191.101178709625,137.34283916956,-460.293143481963,78.0907860627125
"4",73,-191.101178709625,137.34283916956,-460.293143481963,78.0907860627125
"5",74,-191.090874299099,137.340382434169,-460.27802387007,78.0962752718717
"6",94,-190.88482805041,137.291242171915,-459.975662707363,78.2060066065433
"7",96,-190.864227826259,137.286327571562,-459.94542986652,78.2169742140029
"8",103,-190.792133351271,137.269125662307,-459.839619649392,78.2553529468497
"9",103,-190.792133351271,137.269125662307,-459.839619649392,78.2553529468497
"10",105,-190.771536733495,137.264210601749,-459.809389512923,78.2663160459321
"11",108,-190.740643310711,137.256837821176,-459.764045440216,78.2827588187951
"12",166,-190.143726223944,137.114254359166,-458.887664767909,78.6002123200215
"13",193,-189.866082736848,137.047852938105,-458.479874495534,78.7477090218379
"14",212,-189.670792651292,137.001116674809,-458.192981333917,78.8513960313338
"15",213,-189.660516259055,136.998656665078,-458.177883322608,78.8568508044979
"16",213,-189.660516259055,136.998656665078,-458.177883322608,78.8568508044979
"17",213,-189.660516259055,136.998656665078,-458.177883322608,78.8568508044979
"18",217,-189.619412725665,136.988816423471,-458.117492915669,78.8786674643388
"19",234,-189.444759080031,136.946991839587,-457.860863085623,78.9713449255598
"20",234,-189.444759080031,136.946991839587,-457.860863085623,78.9713449255598
"21",237,-189.413943967978,136.939610444003,-457.815580438224,78.9876925022674
"22",266,-189.116159412088,136.868248232389,-457.377925947569,79.1456071233941
"23",267,-189.105894050354,136.86578719223,-457.362836947126,79.1510488464173
"24",282,-188.951938244508,136.828869479865,-457.136522425043,79.2326459360277
"25",294,-188.828806879315,136.79933253206,-456.955498642152,79.2978848835223
"26",309,-188.674934351446,136.762408007344,-456.72925404584,79.3793853429476
"27",340,-188.35707826252,136.686086207744,-456.261807229699,79.5476507046593
"28",341,-188.34682814908,136.683623976517,-456.246731143053,79.5530748448937
"29",341,-188.34682814908,136.683623976517,-456.246731143053,79.5530748448937
