"","l.x","l.y","l.sd","l.lower","l.upper"
"1",75,-242.080149548121,196.679173874302,-627.571330341752,143.41103124551
"2",75,-242.080149548121,196.679173874302,-627.571330341752,143.41103124551
"3",78,-242.055099767434,196.65680066144,-627.502429063855,143.392229528988
"4",79,-242.046750361832,196.649342992497,-627.479462627126,143.385961903461
"5",91,-241.946577847242,196.559853654501,-627.203891010065,143.31073531558
"6",92,-241.938231835358,196.552396434573,-627.180928847121,143.304465176405
"7",106,-241.82141514305,196.447999013425,-626.859493209363,143.216662923264
"8",124,-241.671297778864,196.313783873834,-626.44631417158,143.103718613851
"9",185,-241.163202557544,195.859030282529,-625.0469019113,142.720496796212
"10",190,-241.121599196015,195.821761450773,-624.932251639531,142.689053247501
"11",196,-241.07168396185,195.777040084248,-624.794682526975,142.651314603276
"12",198,-241.055047685558,195.762133261561,-624.748828878217,142.638733507101
"13",206,-240.98851326722,195.702507473935,-624.565427916132,142.588401381692
"14",209,-240.963567272463,195.680148425519,-624.496658186481,142.569523641556
"15",210,-240.955252476104,195.672695484982,-624.473735626669,142.56323067446
"16",213,-240.930309693458,195.650336890544,-624.404969998925,142.544350612009
"17",243,-240.68101469562,195.4267698381,-623.717483578296,142.355454187055
"18",260,-240.539855086356,195.300097267151,-623.328045729971,142.248335557259
"19",268,-240.47345405513,195.240490555918,-623.144815544729,142.197907434468
"20",268,-240.47345405513,195.240490555918,-623.144815544729,142.197907434468
"21",283,-240.348998853726,195.128734779674,-622.801319021887,142.103321314434
"22",285,-240.332409439893,195.113834684192,-622.75552542091,142.090706541124
"23",309,-240.133421363138,194.935046036003,-622.206111593704,141.939268867428
"24",309,-240.133421363138,194.935046036003,-622.206111593704,141.939268867428
"25",310,-240.125133600267,194.927597012743,-622.183223745243,141.932956544708
"26",317,-240.067126907722,194.875454986401,-622.023018681069,141.888764865624
"27",318,-240.058841330504,194.868006288176,-622.000133655328,141.88245099432
"28",319,-240.050556026732,194.860557630701,-621.977248982905,141.876136929442
"29",332,-239.942871985458,194.763728804261,-621.67978044181,141.794036470893
"30",361,-239.702820894193,194.547751175222,-621.016413197628,141.610771409242
"31",369,-239.636640656822,194.488177315816,-620.833468195821,141.560186882176
"32",372,-239.611827622953,194.465837813106,-620.764869736641,141.541214490735
"33",381,-239.537403448233,194.398821587957,-620.559093760629,141.484286864163
"34",390,-239.463001694,194.331808802803,-620.353346947493,141.427343559493
"35",392,-239.446471019494,194.316917541938,-620.307629401693,141.414687362704
"36",395,-239.421677088227,194.294580971489,-620.239055792346,141.395701615892
"37",423,-239.190387708031,194.086125011561,-619.59919273069,141.218417314628
"38",431,-239.124345157193,194.026572421189,-619.416427102724,141.167736788338
"39",438,-239.066572595671,193.974466205944,-619.25652635932,141.123381167979
"40",458,-238.901583749778,193.825603227692,-618.799766076054,140.996598576498
"41",459,-238.893337253302,193.818160545142,-618.77693192178,140.990257415177
"42",459,-238.893337253302,193.818160545142,-618.77693192178,140.990257415177
"43",461,-238.876845103234,193.803275313925,-618.731264718528,140.977574512059
"44",462,-238.86859944975,193.795832765314,-618.708431669766,140.971232770266
"45",477,-238.744948409697,193.684199915905,-618.36598024487,140.876083425477
"46",493,-238.613123882896,193.565136068194,-618.000790576557,140.774542810764
"47",498,-238.571943552524,193.527931002514,-617.886688317452,140.742801212404
"48",498,-238.571943552524,193.527931002514,-617.886688317452,140.742801212404
"49",503,-238.530770297603,193.490727079411,-617.772595373248,140.711054778041
