"","l.x","l.y","l.sd","l.lower","l.upper"
"1",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"2",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"3",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"4",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"5",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"6",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"7",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"8",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"9",200,-1643.33129936445,304.962156043321,-2241.05712520936,-1045.60547351954
"10",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"11",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"12",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"13",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"14",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"15",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"16",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"17",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"18",400,-1627.58304160425,305.096184690136,-2225.57156359692,-1029.59451961159
"19",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"20",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"21",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"22",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"23",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"24",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"25",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"26",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"27",600,-1611.91218406749,305.22838811962,-2210.15982478195,-1013.66454335304
"28",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"29",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"30",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"31",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"32",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"33",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"34",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"35",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"36",800,-1596.31895889549,305.358650261915,-2194.82191340885,-997.81600438214
"37",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"38",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"39",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"40",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"41",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"42",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"43",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"44",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"45",1000,-1580.80359822959,305.486855209562,-2179.55783444033,-982.049362018847
"46",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"47",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"48",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"49",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"50",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"51",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"52",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"53",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"54",1200,-1565.3663342111,305.612887209565,-2164.36759314185,-966.365075280355
"55",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"56",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"57",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"58",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"59",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"60",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"61",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"62",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"63",1400,-1550.00739898137,305.736630655066,-2149.2511950653,-950.763602897438
"64",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"65",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"66",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"67",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"68",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"69",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"70",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"71",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"72",1600,-1534.72702468171,305.857970076608,-2134.20864603186,-935.245403331558
"73",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"74",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"75",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"76",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"77",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"78",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"79",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"80",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"81",1800,-1519.52544345346,305.976790133004,-2119.23995211415,-919.810934792768
"82",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"83",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"84",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"85",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"86",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"87",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"88",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"89",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"90",2000,-1504.40288743794,306.09297560181,-2104.34511961748,-904.460655258389
"91",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"92",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"93",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"94",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"95",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"96",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"97",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
"98",2200,-1489.35958877648,306.206411369393,-2089.52415506049,-889.195022492469
