"","l.x","l.y","l.sd","l.lower","l.upper"
"1",200,-494.988257818413,429.393691726922,-1336.59989360318,346.623377966353
"2",200,-494.988257818413,429.393691726922,-1336.59989360318,346.623377966353
"3",400,-491.74443391842,426.897079696852,-1328.46271012425,344.973842287411
"4",400,-491.74443391842,426.897079696852,-1328.46271012425,344.973842287411
"5",600,-488.518796507876,424.400625502757,-1320.34402249328,343.306429477527
"6",600,-488.518796507876,424.400625502757,-1320.34402249328,343.306429477527
"7",800,-485.311466005072,421.904424995877,-1312.24413899699,341.621206986847
"8",800,-485.311466005072,421.904424995877,-1312.24413899699,341.621206986847
"9",1000,-482.122562828301,419.408576309007,-1304.16337239396,339.918246737353
"10",1000,-482.122562828301,419.408576309007,-1304.16337239396,339.918246737353
"11",1200,-478.952207395854,416.913179924079,-1296.10204004705,338.197625255341
"12",1200,-478.952207395854,416.913179924079,-1296.10204004705,338.197625255341
"13",1400,-475.800520126021,414.418338741922,-1288.06046406019,336.459423808146
"14",1400,-475.800520126021,414.418338741922,-1288.06046406019,336.459423808146
"15",1600,-472.667621437095,411.924158154271,-1280.03897141947,334.703728545277
"16",1600,-472.667621437095,411.924158154271,-1280.03897141947,334.703728545277
"17",1800,-469.553631747367,409.43074611809,-1272.03789413882,332.93063064409
"18",1800,-469.553631747367,409.43074611809,-1272.03789413882,332.93063064409
"19",2000,-466.458671475129,406.938213232283,-1264.0575694104,331.140226460146
"20",2000,-466.458671475129,406.938213232283,-1264.0575694104,331.140226460146
"21",2200,-463.382861038672,404.446672816877,-1256.09833975975,329.332617682407
"22",2200,-463.382861038672,404.446672816877,-1256.09833975975,329.332617682407
"23",2400,-460.326320856286,401.956240994749,-1248.16055320599,327.507911493421
"24",2400,-460.326320856286,401.956240994749,-1248.16055320599,327.507911493421
"25",2600,-457.289171346265,399.467036775976,-1240.24456342718,325.666220734648
"26",2600,-457.289171346265,399.467036775976,-1240.24456342718,325.666220734648
"27",2800,-454.271532926899,396.979182144895,-1232.35072993089,323.807664077094
"28",2800,-454.271532926899,396.979182144895,-1232.35072993089,323.807664077094
"29",3000,-451.273526016479,394.492802149945,-1224.47941823037,321.932366197412
"30",3000,-451.273526016479,394.492802149945,-1224.47941823037,321.932366197412
"31",3200,-448.295271033298,392.008024996393,-1216.63100002623,320.040457959633
"32",3200,-448.295271033298,392.008024996393,-1216.63100002623,320.040457959633
"33",3400,-445.336888395646,389.524982142016,-1208.805853394,318.132076602706
"34",3400,-445.336888395646,389.524982142016,-1208.805853394,318.132076602706
"35",3600,-442.398498521815,387.043808395829,-1201.00436297764,316.207365934009
"36",3600,-442.398498521815,387.043808395829,-1201.00436297764,316.207365934009
"37",3800,-439.480221830097,384.564642019954,-1193.22692018921,314.266476529013
"38",3800,-439.480221830097,384.564642019954,-1193.22692018921,314.266476529013
"39",4000,-436.582178738782,382.087624834722,-1185.47392341484,312.309565937273
"40",4000,-436.582178738782,382.087624834722,-1185.47392341484,312.309565937273
"41",4200,-433.704489666163,379.612902327087,-1177.74577822725,310.336798894928
"42",4200,-433.704489666163,379.612902327087,-1177.74577822725,310.336798894928
"43",4400,-430.847275030531,377.14062376246,-1170.04289760495,308.348347543891
"44",4400,-430.847275030531,377.14062376246,-1170.04289760495,308.348347543891
"45",4600,-428.010655250177,374.670942300045,-1162.36570215826,306.344391657911
"46",4600,-428.010655250177,374.670942300045,-1162.36570215826,306.344391657911
"47",4800,-425.194750743392,372.204015111778,-1154.71462036248,304.325118875693
"48",4800,-425.194750743392,372.204015111778,-1154.71462036248,304.325118875693
"49",5000,-422.399681928469,369.740003504962,-1147.09008879819,302.290724941258
"50",5000,-422.399681928469,369.740003504962,-1147.09008879819,302.290724941258
"51",5200,-419.625569223698,367.279073048685,-1139.49255239912,300.241413951725
"52",5200,-419.625569223698,367.279073048685,-1139.49255239912,300.241413951725
"53",5400,-416.872533047371,364.821393704125,-1131.92246470746,298.177398612715
"54",5400,-416.872533047371,364.821393704125,-1131.92246470746,298.177398612715
"55",5600,-414.140693817779,362.367139958831,-1124.38028813709,296.098900501528
"56",5600,-414.140693817779,362.367139958831,-1124.38028813709,296.098900501528
"57",5800,-411.430171953215,359.916490965063,-1116.86649424474,294.006150338308
"58",5800,-411.430171953215,359.916490965063,-1116.86649424474,294.006150338308
"59",6000,-408.741087871969,357.469630682301,-1109.38156400928,291.89938826534
"60",6000,-408.741087871969,357.469630682301,-1109.38156400928,291.89938826534
"61",6200,-406.073561992332,355.026748023987,-1101.92598811935,289.778864134683
"62",6200,-406.073561992332,355.026748023987,-1101.92598811935,289.778864134683
"63",6400,-403.427714732597,352.588037008606,-1094.50026726946,287.64483780427
"64",6400,-403.427714732597,352.588037008606,-1094.50026726946,287.64483780427
"65",6600,-400.803666511055,350.153696915168,-1087.10491246478,285.497579442674
"66",6600,-400.803666511055,350.153696915168,-1087.10491246478,285.497579442674
"67",6800,-398.201537745996,347.723932443189,-1079.74044533465,283.337369842654
"68",6800,-398.201537745996,347.723932443189,-1079.74044533465,283.337369842654
"69",7000,-395.621448855713,345.298953877225,-1072.40739845507,281.164500743648
"70",7000,-395.621448855713,345.298953877225,-1072.40739845507,281.164500743648
"71",7200,-393.063520258497,342.87897725604,-1065.10631568034,278.97927516334
"72",7200,-393.063520258497,342.87897725604,-1065.10631568034,278.97927516334
"73",7400,-390.52787237264,340.464224546451,-1057.83775248368,276.782007738404
"74",7400,-390.52787237264,340.464224546451,-1057.83775248368,276.782007738404
"75",7600,-388.014625616432,338.054923821925,-1050.6022763074,274.57302507454
"76",7600,-388.014625616432,338.054923821925,-1050.6022763074,274.57302507454
"77",7800,-385.523900408166,335.651309445944,-1043.40046692222,272.352666105885
"78",7800,-385.523900408166,335.651309445944,-1043.40046692222,272.352666105885
"79",8000,-383.055817166133,333.253622260196,-1036.23291679612,270.121282463851
"80",8000,-383.055817166133,333.253622260196,-1036.23291679612,270.121282463851
"81",8200,-380.610496308624,330.862109777587,-1029.10023147269,267.879238855448
"82",8200,-380.610496308624,330.862109777587,-1029.10023147269,267.879238855448
"83",8400,-378.18805825393,328.477026380107,-1022.00302995894,265.62691345108
"84",8400,-378.18805825393,328.477026380107,-1022.00302995894,265.62691345108
"85",8600,-375.788623420344,326.098633521518,-1014.94194512252,263.364698281832
"86",8600,-375.788623420344,326.098633521518,-1014.94194512252,263.364698281832
"87",8800,-373.412312226156,323.727199934858,-1007.91762409848,261.092999646167
"88",8800,-373.412312226156,323.727199934858,-1007.91762409848,261.092999646167
"89",9000,-371.059245089658,321.363001844706,-1000.93072870528,258.812238525965
"90",9000,-371.059245089658,321.363001844706,-1000.93072870528,258.812238525965
"91",9200,-368.729542429141,319.006323184145,-993.981935870066,256.522851011783
"92",9200,-368.729542429141,319.006323184145,-993.981935870066,256.522851011783
"93",9400,-366.423324662898,316.657455816345,-987.071938062934,254.225288737138
"94",9400,-366.423324662898,316.657455816345,-987.071938062934,254.225288737138
"95",9600,-364.140712209219,314.316699760633,-980.20144374006,251.920019321622
"96",9600,-364.140712209219,314.316699760633,-980.20144374006,251.920019321622
"97",9800,-361.881825486395,311.984363422928,-973.371177795334,249.607526822544
"98",9800,-361.881825486395,311.984363422928,-973.371177795334,249.607526822544
"99",10000,-359.646784912719,309.660763830353,-966.581882020211,247.288312194772
"100",10000,-359.646784912719,309.660763830353,-966.581882020211,247.288312194772
"101",10200,-357.435710906481,307.346226869821,-959.834315571331,244.962893758368
"102",10200,-357.435710906481,307.346226869821,-959.834315571331,244.962893758368
"103",10400,-355.248723885974,305.041087530351,-953.129255445463,242.631807673514
"104",10400,-355.248723885974,305.041087530351,-953.129255445463,242.631807673514
"105",10600,-353.085944269488,302.74569014882,-946.467496961176,240.2956084222
"106",10600,-353.085944269488,302.74569014882,-946.467496961176,240.2956084222
"107",10800,-350.947492475315,300.46038865882,-939.849854246603,237.954869295973
"108",10800,-350.947492475315,300.46038865882,-939.849854246603,237.954869295973
"109",11000,-348.833488921747,298.185546842243,-933.277160732543,235.610182889049
"110",11000,-348.833488921747,298.185546842243,-933.277160732543,235.610182889049
"111",11200,-346.744054027074,295.921538583144,-926.750269650036,233.262161595888
"112",11200,-346.744054027074,295.921538583144,-926.750269650036,233.262161595888
"113",11400,-344.679308209589,293.668748123406,-920.270054531466,230.911438112287
"114",11400,-344.679308209589,293.668748123406,-920.270054531466,230.911438112287
"115",11600,-342.639371887583,291.427570319632,-913.837409714062,228.558665938896
"116",11600,-342.639371887583,291.427570319632,-913.837409714062,228.558665938896
"117",11800,-340.624365479347,289.198410900643,-907.453250844607,226.204519885914
"118",11800,-340.624365479347,289.198410900643,-907.453250844607,226.204519885914
"119",12000,-338.634409403172,286.981686724892,-901.11851538396,223.849696577616
"120",12000,-338.634409403172,286.981686724892,-901.11851538396,223.849696577616
"121",12200,-336.669624077351,284.777826037001,-894.834163109873,221.494914955172
"122",12200,-336.669624077351,284.777826037001,-894.834163109873,221.494914955172
"123",12400,-334.730129920174,282.587268722571,-888.601176616413,219.140916776066
"124",12400,-334.730129920174,282.587268722571,-888.601176616413,219.140916776066
"125",12600,-332.816047349933,280.410466560302,-882.420561808125,216.788467108259
"126",12600,-332.816047349933,280.410466560302,-882.420561808125,216.788467108259
"127",12800,-330.928526523608,278.249028182982,-876.296621762253,214.439568715038
"128",12800,-330.928526523608,278.249028182982,-876.296621762253,214.439568715038
"129",13000,-329.06845539807,276.104301356514,-870.232886056837,212.095975260696
"130",13000,-329.06845539807,276.104301356514,-870.232886056837,212.095975260696
"131",13200,-327.235561091449,273.976354968334,-864.229216829384,209.758094646486
"132",13200,-327.235561091449,273.976354968334,-864.229216829384,209.758094646486
"133",13400,-325.429570721875,271.86525696392,-858.285474371158,207.426332927408
"134",13400,-325.429570721875,271.86525696392,-858.285474371158,207.426332927408
"135",13600,-323.650211407476,269.771074267284,-852.401516971352,205.101094156401
"136",13600,-323.650211407476,269.771074267284,-852.401516971352,205.101094156401
"137",13800,-321.897210266381,267.693872698496,-846.577200755433,202.782780222671
"138",13800,-321.897210266381,267.693872698496,-846.577200755433,202.782780222671
"139",14000,-320.170294416721,265.633716888174,-840.812379517541,200.4717906841
"140",14000,-320.170294416721,265.633716888174,-840.812379517541,200.4717906841
"141",14200,-318.469190976623,263.5906701889,-835.106904546867,198.16852259362
"142",14200,-318.469190976623,263.5906701889,-835.106904546867,198.16852259362
"143",14400,-316.793627064219,261.56479458353,-829.460624447939,195.873370319501
"144",14400,-316.793627064219,261.56479458353,-829.460624447939,195.873370319501
"145",14600,-315.143329797637,259.55615059036,-823.873384954742,193.586725359468
"146",14600,-315.143329797637,259.55615059036,-823.873384954742,193.586725359468
"147",14800,-313.518026295006,257.564797165105,-818.345028738612,191.3089761486
"148",14800,-313.518026295006,257.564797165105,-818.345028738612,191.3089761486
"149",15000,-311.917443674455,255.590791599695,-812.875395209857,189.040507860947
"150",15000,-311.917443674455,255.590791599695,-812.875395209857,189.040507860947
"151",15200,-310.341309054115,253.634189417834,-807.464320313068,186.781702204839
"152",15200,-310.341309054115,253.634189417834,-807.464320313068,186.781702204839
"153",15400,-308.789349552113,251.695044267335,-802.111636316091,184.532937211864
"154",15400,-308.789349552113,251.695044267335,-802.111636316091,184.532937211864
"155",15600,-307.261292286581,249.773407809213,-796.817171592637,182.294587019476
"156",15600,-307.261292286581,249.773407809213,-796.817171592637,182.294587019476
"157",15800,-305.756864375646,247.869329603525,-791.580750398555,180.067021647263
"158",15800,-305.756864375646,247.869329603525,-791.580750398555,180.067021647263
"159",16000,-304.275792937438,245.982856991991,-786.40219264174,177.850606766864
"160",16000,-304.275792937438,245.982856991991,-786.40219264174,177.850606766864
"161",16200,-302.817805090087,244.114034977378,-781.281313645748,175.645703465575
"162",16200,-302.817805090087,244.114034977378,-781.281313645748,175.645703465575
"163",16400,-301.382627951721,242.262906099695,-776.217923907124,173.452668003681
"164",16400,-301.382627951721,242.262906099695,-776.217923907124,173.452668003681
"165",16600,-299.969988640471,240.429510309211,-771.211828846524,171.271851565582
"166",16600,-299.969988640471,240.429510309211,-771.211828846524,171.271851565582
"167",16800,-298.579614274465,238.613884836347,-766.262828553705,169.103600004774
"168",16800,-298.579614274465,238.613884836347,-766.262828553705,169.103600004774
"169",17000,-297.211231971833,236.81606405849,-761.370717526473,166.948253582806
"170",17000,-297.211231971833,236.81606405849,-761.370717526473,166.948253582806
"171",17200,-295.864568850704,235.036079363778,-756.53528440371,164.806146702301
"172",17200,-295.864568850704,235.036079363778,-756.53528440371,164.806146702301
"173",17400,-294.539352029208,233.273959011938,-751.756311692607,162.677607634191
"174",17400,-294.539352029208,233.273959011938,-751.756311692607,162.677607634191
"175",17600,-293.235308625473,231.529727992242,-747.033575490268,160.562958239322
"176",17600,-293.235308625473,231.529727992242,-747.033575490268,160.562958239322
"177",17800,-291.952165757629,229.803407878683,-742.366845199848,158.46251368459
"178",17800,-291.952165757629,229.803407878683,-742.366845199848,158.46251368459
"179",18000,-290.689650543805,228.095016682463,-737.755883241434,156.376582153823
"180",18000,-290.689650543805,228.095016682463,-737.755883241434,156.376582153823
"181",18200,-289.447490102131,226.404568701909,-733.200444757872,154.305464553609
"182",18200,-289.447490102131,226.404568701909,-733.200444757872,154.305464553609
"183",18400,-288.225411550736,224.732074369935,-728.700277315809,152.249454214337
"184",18400,-288.225411550736,224.732074369935,-728.700277315809,152.249454214337
"185",18600,-287.02314200775,223.077540099198,-724.255120602177,150.208836586677
"186",18600,-287.02314200775,223.077540099198,-724.255120602177,150.208836586677
"187",18800,-285.840408591301,221.440968125069,-719.864706116435,148.183888933834
"188",18800,-285.840408591301,221.440968125069,-719.864706116435,148.183888933834
"189",19000,-284.676938419518,219.822356346608,-715.528756858871,146.174880019834
"190",19000,-284.676938419518,219.822356346608,-715.528756858871,146.174880019834
"191",19200,-283.532458610532,218.22169816569,-711.246987015284,144.182069794219
"192",19200,-283.532458610532,218.22169816569,-711.246987015284,144.182069794219
"193",19400,-282.406696282472,216.638982324463,-707.01910163842,142.205709073477
"194",19400,-282.406696282472,216.638982324463,-707.01910163842,142.205709073477
"195",19600,-281.299378553466,215.074192741357,-702.844796326526,140.246039219594
"196",19600,-281.299378553466,215.074192741357,-702.844796326526,140.246039219594
"197",19800,-280.210232541644,213.527308345804,-698.723756899421,138.303291816132
"198",19800,-280.210232541644,213.527308345804,-698.723756899421,138.303291816132
"199",20000,-279.138985365136,211.998302911929,-694.655659072518,136.377688342245
"200",20000,-279.138985365136,211.998302911929,-694.655659072518,136.377688342245
"201",20200,-278.085364142071,210.487144891401,-690.640168129217,134.469439845075
"202",20200,-278.085364142071,210.487144891401,-690.640168129217,134.469439845075
"203",20400,-277.049095990578,208.993797245698,-686.676938592146,132.578746610991
"204",20400,-277.049095990578,208.993797245698,-686.676938592146,132.578746610991
"205",20600,-276.029908028786,207.518217278028,-682.765613893721,130.705797836149
"206",20600,-276.029908028786,207.518217278028,-682.765613893721,130.705797836149
"207",20800,-275.027527374825,206.060356465147,-678.905826046512,128.850771296863
"208",20800,-275.027527374825,206.060356465147,-678.905826046512,128.850771296863
"209",21000,-274.041681146823,204.62016028935,-675.097195313949,127.013833020302
"210",21000,-274.041681146823,204.62016028935,-675.097195313949,127.013833020302
"211",21200,-273.072096462912,203.197568070889,-671.339329881854,125.195136956031
"212",21200,-273.072096462912,203.197568070889,-671.339329881854,125.195136956031
"213",21400,-272.118500441218,201.7925128011,-667.631825531374,123.394824648937
"214",21400,-272.118500441218,201.7925128011,-667.631825531374,123.394824648937
"215",21600,-271.180620199873,200.404920976507,-663.974265313826,121.61302491408
"216",21600,-271.180620199873,200.404920976507,-663.974265313826,121.61302491408
"217",21800,-270.258182857005,199.034712434195,-660.366219228027,119.849853514016
"218",21800,-270.258182857005,199.034712434195,-660.366219228027,119.849853514016
"219",22000,-269.350915530744,197.681800188727,-656.807243900648,118.10541283916
"220",22000,-269.350915530744,197.681800188727,-656.807243900648,118.10541283916
"221",22200,-268.458545339218,196.34609027089,-653.296882270162,116.379791591726
"222",22200,-268.458545339218,196.34609027089,-653.296882270162,116.379791591726
"223",22400,-267.580799400558,195.027481568558,-649.834663274932,114.673064473816
"224",22400,-267.580799400558,195.027481568558,-649.834663274932,114.673064473816
"225",22600,-266.717404832892,193.725865669948,-646.420101545991,112.985291880206
"226",22600,-266.717404832892,193.725865669948,-646.420101545991,112.985291880206
"227",22800,-265.868088754351,192.441126709545,-643.052697105059,111.316519596358
"228",22800,-265.868088754351,192.441126709545,-643.052697105059,111.316519596358
"229",23000,-265.032578283062,191.173141216974,-639.73193506833,109.666778502207
"230",23000,-265.032578283062,191.173141216974,-639.73193506833,109.666778502207
"231",23200,-264.210600537156,189.921777969072,-636.457285356537,108.036084282226
"232",23200,-264.210600537156,189.921777969072,-636.457285356537,108.036084282226
"233",23400,-263.401882634761,188.686897845426,-633.228202411797,106.424437142275
"234",23400,-263.401882634761,188.686897845426,-633.228202411797,106.424437142275
"235",23600,-262.606151694008,187.468353687605,-630.044124921713,104.831821533698
"236",23600,-262.606151694008,187.468353687605,-630.044124921713,104.831821533698
"237",23800,-261.823134833025,186.265990162322,-626.904475551177,103.258205885127
"238",23800,-261.823134833025,186.265990162322,-626.904475551177,103.258205885127
"239",24000,-261.052559169941,185.079643628748,-623.808660682288,101.703542342405
"240",24000,-261.052559169941,185.079643628748,-623.808660682288,101.703542342405
"241",24200,-260.294151822887,183.909142010147,-620.756070162775,100.167766517
"242",24200,-260.294151822887,183.909142010147,-620.756070162775,100.167766517
"243",24400,-259.547639909991,182.754304670034,-617.746077063258,98.650797243275
"244",24400,-259.547639909991,182.754304670034,-617.746077063258,98.650797243275
