"","l.x","l.y","l.sd","l.lower","l.upper"
"1",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"2",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"3",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"4",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"5",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"6",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"7",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"8",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"9",200,-1536.31676071682,0,-1536.31676071682,-1536.31676071682
"10",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"11",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"12",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"13",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"14",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"15",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"16",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"17",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"18",400,-1532.63236879034,0,-1532.63236879034,-1532.63236879034
"19",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"20",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"21",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"22",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"23",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"24",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"25",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"26",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"27",600,-1528.9543408169,0,-1528.9543408169,-1528.9543408169
"28",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"29",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"30",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"31",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"32",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"33",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"34",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"35",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"36",800,-1525.28258211608,0,-1525.28258211608,-1525.28258211608
"37",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"38",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"39",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"40",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"41",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"42",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"43",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"44",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"45",1000,-1521.61699800749,0,-1521.61699800749,-1521.61699800749
"46",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"47",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"48",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"49",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"50",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"51",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"52",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"53",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"54",1200,-1517.95749381071,0,-1517.95749381071,-1517.95749381071
"55",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"56",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"57",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"58",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"59",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"60",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"61",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"62",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"63",1400,-1514.30397484535,0,-1514.30397484535,-1514.30397484535
"64",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"65",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"66",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"67",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"68",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"69",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"70",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"71",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"72",1600,-1510.65634643099,0,-1510.65634643099,-1510.65634643099
"73",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"74",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"75",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"76",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"77",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"78",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"79",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"80",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"81",1800,-1507.01451388723,0,-1507.01451388723,-1507.01451388723
"82",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"83",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"84",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"85",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"86",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"87",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"88",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"89",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"90",2000,-1503.37838253367,0,-1503.37838253367,-1503.37838253367
"91",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"92",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"93",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"94",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"95",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"96",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"97",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"98",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"99",2200,-1499.7478576899,0,-1499.7478576899,-1499.7478576899
"100",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"101",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"102",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"103",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"104",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"105",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"106",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"107",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"108",2400,-1496.12284467552,0,-1496.12284467552,-1496.12284467552
"109",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"110",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"111",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"112",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"113",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"114",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"115",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"116",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"117",2600,-1492.50324881011,0,-1492.50324881011,-1492.50324881011
"118",2800,-1488.88897541328,0,-1488.88897541328,-1488.88897541328
"119",2800,-1488.88897541328,0,-1488.88897541328,-1488.88897541328
"120",2800,-1488.88897541328,0,-1488.88897541328,-1488.88897541328
"121",2800,-1488.88897541328,0,-1488.88897541328,-1488.88897541328
"122",2800,-1488.88897541328,0,-1488.88897541328,-1488.88897541328
