"","l.x","l.y","l.sd","l.lower","l.upper"
"1",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"2",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"3",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"4",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"5",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"6",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"7",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"8",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"9",1000,68196.7275732781,0,68196.7275732781,68196.7275732781
"10",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"11",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"12",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"13",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"14",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"15",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"16",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"17",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"18",2000,58355.9236914592,0,58355.9236914592,58355.9236914592
"19",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"20",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"21",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"22",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"23",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"24",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"25",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"26",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"27",3000,48785.8595641048,0,48785.8595641048,48785.8595641048
"28",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"29",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"30",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"31",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"32",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"33",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"34",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"35",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"36",4000,39476.1664589923,0,39476.1664589923,39476.1664589923
"37",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"38",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"39",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"40",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"41",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"42",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"43",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"44",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"45",5000,30416.4756438989,0,30416.4756438989,30416.4756438989
"46",6000,21596.418386602,0,21596.418386602,21596.418386602
"47",6000,21596.418386602,0,21596.418386602,21596.418386602
"48",6000,21596.418386602,0,21596.418386602,21596.418386602
"49",6000,21596.418386602,0,21596.418386602,21596.418386602
"50",6000,21596.418386602,0,21596.418386602,21596.418386602
"51",6000,21596.418386602,0,21596.418386602,21596.418386602
